"","geo","name","diff_rwage","diff_gdp","cat_pov","cat_geo"
"1","AT","Austria",1.60355118551499,7.92654804729406,"dobrze","West"
"2","BE","Belgium",-1.0973931801256,6.69847423316134,"najlepiej","West"
"3","BG","Bulgaria",45.4821922641556,18.9741223310905,"dobrze","South"
"4","HR","Croatia",-6.2779564302812,-13.2913635694001,"najlepiej","South"
"5","CZ","Czech Republic",7.00814904664618,10.7019269199034,"najlepiej","East"
"6","DK","Denmark",6.775088628735,9.19723312908551,"najlepiej","West"
"7","EE","Estonia",27.1813967522493,29.7692859622864,"gorzej","East"
"8","FI","Finland",4.7659189109774,9.67883495893067,"najlepiej","North"
"9","FR","France",4.16381669418269,9.88501514551569,"dobrze","West"
"10","DE","Germany",10.1645476144609,16.4540406518507,"gorzej","West"
"11","EL","Greece",-24.8706137909139,-33.004733032729,"najgorzej","South"
"12","HU","Hungary",2.86356366021795,16.3895080025438,"gorzej","East"
"13","IE","Ireland",1.31390971057098,48.7193489886742,"najlepiej","West"
"14","IT","Italy",-1.54628485182508,0.296260421256826,"najgorzej","South"
"15","LV","Latvia",23.1082948818814,19.5448553366997,"gorzej","East"
"16","LT","Lithuania",18.0652314086774,30.3711409676258,"gorzej","East"
"17","LU","Luxembourg",0.014186559972694,28.030704432971,"najgorzej","West"
"18","NL","Netherlands",0.182520624611541,2.99474813906672,"najlepiej","West"
"19","PL","Poland",12.4206902476161,22.4982241660363,"najgorzej","East"
"20","PT","Portugal",-7.92944983740004,-11.5437382434554,"najgorzej","South"
"21","RO","Romania",27.4735627313261,28.8599705871739,"najgorzej","East"
"22","SK","Slovakia",11.407771205634,19.8499449348787,"dobrze","East"
"23","SI","Slovenia",2.21049241636433,6.39476567657208,"dobrze","South"
"24","ES","Spain",-2.43281035926684,-3.49435463644776,"najgorzej","South"
"25","SE","Sweden",11.9550726100963,39.2978645456985,"dobrze","North"
"26","UK","United Kingdom",-3.84612215651415,19.837471639359,"gorzej","West"
