"","title","rate","budget","gross","path","ratio"
"1","Wonder woman",7.6,147,404.000174,"wonderwoman.png",2.71141056375839
"2","Spider-Man: Homecoming",7.6,175,314,"spiderman.png",1.79428571428571
"3","Transformers: The Last Night",5.2,217,130,"transformers.png",0.599078341013825
"4","Logan",8.2,97,226.5,"logan.png",2.33505154639175
"5","The Mummy",5.5,125,80,"mummy.png",0.64
"6","War for the Planet of the Apes",7.7,155,141,"apps.png",0.94
"7","The LEGO Batman Movie",7.3,80,176,"lego.png",2.2
"8","Guardians of the Galaxy Vol 2",7.8,197,390,"guardians.png",1.95
"9","Dunkirk",8.3,105,187,"dunkirk.png",1.87
"10","Split",7.3,9,138,"split.png",15.3333333333333
"11","Rogue One: A Star Wars Story",7.9,203,523,"starwars.png",2.615
"12","Despicable Me 3",6.3,80,252,"despicable.png",3.15
"13","It",7.7,33,230,"it.png",6.57142857142857
"14","Beauty and the Beast",7.2,160,505,"beautybeast.png",3.15625
"15","Fast and Furious",6.8,250,225,"ff.png",0.9
"16","Thor: Ragnarok",8.2,180,650,"thor.png",3.61111111111111
"17","Cars 3",6.9,175,152,"cars.png",0.868571428571429
"18","Kong: Skull Island",6.7,185,168,"kong.png",0.908108108108108
"19","Annabelle: Creation",6.7,15,35,"annabelle.png",2.33333333333333
"20","John Wick: Chapter Two",7.6,43,92,"wick.png",2.3
