name,address,lat,lon
Szpitalny Odzia? Ratunkowy,Lindleya 4,52.2242975,20.9975838
Centralny szpilat kliniczny MSW,Wo?oska 137,52.1991156,20.9978034
Mazowiecki szpital Wojewódzki,Kondratowicza 8,52.2909263,21.0447852
Szpital Czerniakowski,St?pi?ska 19,52.204591,21.037453
Szpital Solec,Solec 93,52.235648,21.031146
Szpital Praski ,aleja Solidarno?ci 67,52.2516107,21.0290865
Wojskowy Instytut  Medyczny,Szaserów 128,52.2510606,21.0885423
Szpital Wolski,Kasprzaka 17,52.2270615,20.9717519
Samodzielny publiczny Centralny Szpital Kliniczny,Banacha 1,52.2098061,20.9848237
Szpital Biela?ski,Ceg?owska 80,52.285442,20.9499709
Szpital Grochowski,Grenadierów 51,52.2418519,21.079545
Szpital dzieci?cy ,Niek?a?ska 4,52.2328453,21.0629866
,,,
,,,
,,,
