scena,jack,marla,other,tyler,suma
16,0.67,0.33,0.0,0.0,3.0
26,0.0,1.0,0.0,0.0,1.0
28,0.49,0.33,0.19,0.0,43.0
29,0.56,0.44,0.0,0.0,9.0
30,0.47,0.53,0.0,0.0,17.0
69,0.53,0.47,0.0,0.0,19.0
74,0.5,0.38,0.0,0.12,8.0
77,0.0,1.0,0.0,0.0,5.0
78,0.0,0.6,0.4,0.0,5.0
79,0.0,1.0,0.0,0.0,1.0
81,0.0,1.0,0.0,0.0,1.0
91,0.56,0.15,0.05,0.23,39.0
94,0.65,0.12,0.24,0.0,17.0
95,0.5,0.5,0.0,0.0,6.0
96,0.49,0.29,0.23,0.0,35.0
121,0.47,0.41,0.0,0.12,34.0
133,0.78,0.22,0.0,0.0,9.0
148,0.51,0.26,0.0,0.23,35.0
160,0.55,0.14,0.32,0.0,22.0
161,0.48,0.48,0.05,0.0,44.0
166,0.42,0.02,0.0,0.56,48.0
173,0.49,0.04,0.0,0.47,70.0
